customer_id,first_name,middle_name,last_name,suffix,email,phone,alternative_phone,address,city,state,zip_code,country,gender,birth_date,created_at,updated_at,is_active,customer_segment,lifetime_value,preferred_language,opt_in_email
CUST-493201-B316,Sean,Sara,Hurley,,eric53@gmail.com,(417)632-5031x08741,,9371 Madison Harbors,Lake Dianamouth,CA,23978,USA,M,1969-03-10,2024-03-18 16:34:40,2025-07-14 20:12:39,1,Churn-Risk,1003.88,ES,1
CUST-493202-4A4B,Michelle,,Green,,whiteellen@gmail.com,001-539-234-9782x223,99999,2680 Andrew Turnpike,New Kimberlyport,MI,50274,USA,U,1955-12-22,2023-05-03 17:06:24,,1,Churn-Risk,1202.6300000000001,FR,0
CUST-493203-20CF,Joseph,Sean,,,paulsosa@hotmail.com,99999,,25723 Samantha Mills Suite 531,Rodriguezberg,RI,79605,USA,M,1966-09-05,2022-06-09 19:12:20,2024-02-27 09:12:08,1,Regular,NaN,FR,1
CUST-493204-777B,Patricia,Jacob,Boyer,,zbates@yahoo.com,781-308-3966,,40489 King Oval Apt. 610,New Ian,AS,35367,USA,U,1957-02-16,2023-10-20 22:17:06,2024-05-21 18:31:10,0,Regular,5498.96,ES,0
CUST-493205-45DE,Joshua,,Martinez,,anthonymarshall@gmail.com,+1-810-735-5031x8287,,0285 Kimberly Streets Suite 800,Herrerashire,MP,00891,USA,M,1999-09-01,2024-10-10 01:16:56,2025-09-24 13:31:19,N,New,3897.2600000000002,EN,1
CUST-493206-3337,Ashley,Robert,martinez,,samantha82@yahoo.com,784-683-1681x64115,(766)391-3950x54055,46948 Smith Crossing,Porterhaven,CA,07133,USA,U,1994-05-22,2023-06-21 23:53:42,2025-01-10 17:24:07,0,Churn-Risk,5519.4799999999996,ZH,1
CUST-493207-6C6D,Scott,,Soto,Jr.,catherine32@yahoo.com,001-897-341-0699,,6962 Cruz Branch,Perezburgh,PR,29123,USA,O,1991-08-02,2021-12-18 06:28:29,2025-02-18 03:45:25,1,Churn-Risk,272.43000000000001,ZH,TRUE
CUST-493208-1C01,Daniel,Michael,   Hunt   ,,scott26@yahoo.com,374.680.0759,,3519 Kristine Mission,Lake David,VI,ABCDE,USA,U,1982-05-13,2023-07-28 09:15:30,2024-07-05 04:32:10,1,VIP,NaN,FR,1
CUST-493209-57A1,Diana,Abigail,Morrison,,patricksimmons@gmail.com,724.913.0382,,90291 Daniel Circle Apt. 614,Cohenfort,TN,19704,USA,O,1945-11-14,2024-02-21 09:43:29,2025-08-06 23:28:46,0,Regular,4189.8900000000003,FR,0
CUST-493210-E9BC,Jesse,,Brewer,,andrewwhite@gmail.com,+1-736-896-6957x101,000-000-0000,331 Lang Highway Suite 335,South Jennahaven,AR,76622,USA,O,1962-06-08,2022-07-12 07:52:21,0000-00-00,0,Churn-Risk,3961.71,EN,1
CUST-493211-898B,Kimberly,Jeffrey,   Hogan   ,,jamesterry@hotmail.com,99999,,4924 Christopher Springs Suite 408,New Jenniferchester,LA,98152,USA,U,1974-12-22,2021-10-19 16:19:30,2024-10-17 07:52:17,0,New,5577.8199999999997,EN,0
CUST-493212-4CF3,Zachary,,Murphy,,ashley01@gmail.com,535.908.2944,,579 Amanda Parkway Apt. 555,Shannonmouth,FM, ,USA,M,1974-11-04,2023-02-13 03:20:17,2023-05-13 00:07:16,0,Regular,1301.4300000000001,EN,1
CUST-493213-1C61,Crystal,Olivia,Hayes,,corrupted_email.com,000-000-0000,+1-503-910-9526x659,43689 Christine Garden Suite 635,Port Makayla,NE,98062,USA,F,1960-05-06,2022-11-12 00:59:36,2025-06-04 23:56:16,1,VIP,2606.7399999999998,ES,0
CUST-493214-2F1B,Rebekah,Joshua,Perez,,tyang@yahoo.com,754.493.3495,3184713944,2931 Brown Run Suite 387,Ianmouth,IN,97202,USA,F,1991-07-10,2023-09-15 19:40:45,2025-06-23 03:25:32,0,VIP,5788.1199999999999,EN,0
CUST-493215-38B1,Megan,Ian,Dillon,,odelacruz@hotmail.com,001-402-496-9129,+1-667-898-2993,42219 Harris Corner Suite 413,Port Michaelstad,MT,86138,USA,F,1938-06-29,2025-04-23 03:26:41,2026-03-23 02:11:03,1,VIP,4280.4499999999998,FR,1
CUST-493216-FFE2,Stacey,,Adams,,walkerkimberly@gmail.com.csv,(400)307-6989x03956,,57411 Seth Ridges Suite 548,North Mistyville,AL,04162,USA,F,2006-11-14,2024-12-12 15:13:42,2025-04-28 17:14:25,1,Churn-Risk,"1,450.00$",ZH,TRUE
CUST-493217-7494,Ashley,KIMBERLY,Ray,,corrupted_email.com,932.225.0427x1519,,8689 Nichole Vista Suite 456,Lake Rachelfurt,PW,37145,USA,O,1967-11-10,2021-11-19 07:27:18,,1,VIP,5089.6599999999999,EN,0
CUST-493218-2C4C,Nichole,Scott,Gonzalez,,daniel73@gmail.com,671-473-5780x774,+1-664-800-5947x974,5705 Robert Isle,Maryberg,ME,69588,USA,F,1958-12-28,2021-10-21 17:19:19,2022-11-28 02:28:25,0,Regular,6751.9899999999998,ZH,1
CUST-493219-9EAF,DEBORAH,Loretta,Underwood,,deborah24@yahoo.com,+1-581-468-7428x308,,9315 Frank Corner,South Kevin,MI,66803,USA,U,1967-07-12,2024-03-15 10:06:51,2050-01-01,0,VIP,7076.7200000000003,ZH,N
CUST-493220-3F9F,Miguel,Henry,COLLINS,,peterszachary@gmail.com.csv,780.942.8565x356,NOT_PROVIDED,4891 Taylor Points Apt. 224,North Cole,DC,66424,USA,M,1967-04-01,2022-02-13 02:08:13,2023-09-22 23:51:56,1,New,8662.9799999999996,ZH,0
CUST-493221-D5AB,Bruce,Angela,Zimmerman,,ericawilliams@gmail.com,001-409-657-4236x4459,,727 Davis Points Apt. 096,Perrybury,PW,81320,USA,M,1959-12-26,2023-08-16 03:11:48,2024-09-15 12:12:27,1,Regular,"1,450.00$",ES,0
CUST-493222-8AC6,Thomas,Jerry,Martin,,scottdominguez@hotmail.com,001-777-328-6771x95182,001-557-942-1302x5256,97007 Melissa Isle Suite 492,West Jeffreyborough,CT,24269,USA,U,1978-02-08,2023-08-04 15:01:12,2025-04-14 19:54:14,0,Regular,4357.4799999999996,FR,1
CUST-493223-8EE8,Janet,Heather,   Duncan   ,,corrupted_email.com,548-376-9695,,9899 Matthew Key,Lake Mariashire,OK,37972,USA,F,1988-11-24,2021-07-22 01:54:14,2023-05-03 23:36:02,0,VIP,6370.3599999999997,ZH,1
CUST-493224-D5ED,Bianca,Daryl,Stone,,paul89@hotmail.com,567-940-0270x126,,442 Paul Ramp Suite 851,New Nancyhaven,NH,18629,USA,O,1976-06-06,2024-01-31 12:28:29,2024-07-08 12:54:32,1,New,1186.8800000000001,EN,0
CUST-493225-3810,Rodney,Ryan,Hansen,,qwilson@yahoo.com,798-926-7492x6341,NOT_PROVIDED,954 Mooney Well Suite 004,Brendaton,MT,78099,USA,M,1776-07-04,2024-09-13 15:09:06,2025-08-22 06:05:30,0,VIP,1416.0599999999999,ZH,0
CUST-493226-7AA2,Samantha,Lisa,BURNS,,castillonicolas@yahoo.com,(422)773-0372,,8840 Anne Spur Suite 357,Farrellview,FM,56278,USA,O,1978-03-17,2023-08-07 02:49:07,2023-11-03 10:35:46,0,Regular,3708.0100000000002,FR,Y
CUST-493227-B56B,Robert,,Freeman,,sandra76@hotmail.com.csv,+1-475-236-2127x48020,,298 Shaw Branch Apt. 852,New Jessica,NJ,000,USA,M,2050-01-01,2022-04-30 10:55:58,2025-04-10 22:15:42,0,Regular,659.66999999999996,FR,1
CUST-493228-4D18,Renee,Christina,Lang,,richard24@gmail.com,2457229095,663-349-8820,43095 Brandon Ramp Apt. 925,Daltonfurt,UT,88561,USA,F,2003-06-19,2025-06-02 17:36:30,2025-06-09 11:01:55,N,Churn-Risk,4359.5500000000002,ES,0
CUST-493229-78E5,Crystal,Karen,Harmon,III,peter10@yahoo.com,324.262.3150,,179 Hannah Center Suite 120,Langfurt,ME,30246,USA,U,1982-08-09,2025-02-14 21:01:38,2050-01-01,0,VIP,6308.7600000000002,ZH,FALSE
